/Users/am/Code/Agency/tools/document_generator.py:81:4: forbids Dict[str, Any]/dict[str, Any] in annotation
/Users/am/Code/Agency/tools/document_generator.py:89:4: forbids Dict[str, Any]/dict[str, Any] in annotation
/Users/am/Code/Agency/tools/document_generator.py:98:4: forbids Dict[str, Any]/dict[str, Any] in annotation
/Users/am/Code/Agency/shared/message_bus.py:69:8: forbids Dict[str, Any]/dict[str, Any] in arg
/Users/am/Code/Agency/shared/message_bus.py:151:8: forbids Dict[str, Any]/dict[str, Any] in arg
/Users/am/Code/Agency/shared/message_bus.py:245:8: forbids Dict[str, Any]/dict[str, Any] in arg
/Users/am/Code/Agency/shared/message_bus.py:386:27: forbids Dict[str, Any]/dict[str, Any] in return
/Users/am/Code/Agency/shared/cost_tracker.py:79:4: forbids Dict[str, Any]/dict[str, Any] in annotation
/Users/am/Code/Agency/shared/persistent_store.py:58:4: forbids Dict[str, Any]/dict[str, Any] in annotation
/Users/am/Code/Agency/shared/persistent_store.py:65:47: forbids Dict[str, Any]/dict[str, Any] in return
/Users/am/Code/Agency/shared/persistent_store.py:137:8: forbids Dict[str, Any]/dict[str, Any] in arg
/Users/am/Code/Agency/shared/persistent_store.py:179:8: forbids Dict[str, Any]/dict[str, Any] in arg
/Users/am/Code/Agency/shared/persistent_store.py:482:27: forbids Dict[str, Any]/dict[str, Any] in return
/Users/am/Code/Agency/shared/pattern_detector.py:41:4: forbids Dict[str, Any]/dict[str, Any] in annotation
/Users/am/Code/Agency/shared/pattern_detector.py:328:8: forbids Dict[str, Any]/dict[str, Any] in arg
/Users/am/Code/Agency/shared/pattern_detector.py:342:8: forbids Dict[str, Any]/dict[str, Any] in arg
/Users/am/Code/Agency/shared/pattern_detector.py:361:8: forbids Dict[str, Any]/dict[str, Any] in arg
/Users/am/Code/Agency/shared/pattern_detector.py:373:30: forbids Dict[str, Any]/dict[str, Any] in arg
/Users/am/Code/Agency/shared/pattern_detector.py:411:35: forbids Dict[str, Any]/dict[str, Any] in return
/Users/am/Code/Agency/shared/preference_learning.py:212:8: forbids Dict[str, Any]/dict[str, Any] in annotation
/Users/am/Code/Agency/shared/preference_learning.py:508:24: forbids Dict[str, Any]/dict[str, Any] in arg
/Users/am/Code/Agency/shared/hitl_protocol.py:617:27: forbids Dict[str, Any]/dict[str, Any] in return
/Users/am/Code/Agency/shared/local_model_server.py:64:9: forbids Dict[str, Any]/dict[str, Any] in return
/Users/am/Code/Agency/shared/tool_telemetry.py:87:39: forbids Dict[str, Any]/dict[str, Any] in return
/Users/am/Code/Agency/trinity_protocol/experimental/conversation_context.py:378:27: forbids Dict[str, Any]/dict[str, Any] in return
/Users/am/Code/Agency/trinity_protocol/core/witness.py:35:4: forbids Dict[str, Any]/dict[str, Any] in annotation
/Users/am/Code/Agency/trinity_protocol/core/witness.py:41:25: forbids Dict[str, Any]/dict[str, Any] in return
